SARS-CoV-2/Genomic Copies/L or ARBOVIRUSES/Genomic Copies/log10/L
1.88
2.49
2.22
1.97
0
0
2.1
0
1.82
2.53
0
2.28
0
1.61
0
0
0
0
2.3
0
0
0
0
2.37
1.89
0
2.24
0
1.98
0
2.07
0
0
0
0
0
0
2.09
0
